Date,AdjCloseRSP,AdjCloseSPY,AdjCloseAmazon,AdjCloseDukeenergy,RSP,SPY,Amazon,DukeEnergy
3/3/2008,38.06,112.72,71.3,36.82,-0.0187,-0.009,0.1007,0.0175
1/2/2008,38.78,113.73,64.47,36.18,-0.0306,-0.0262,-0.1867,-0.0495
2/1/2008,39.98,116.75,77.7,38.02,-0.044,-0.0624,-0.1759,-0.0784
3/12/2007,41.78,124.26,92.64,41.11,-0.0172,-0.0113,0.0227,0.019
1/11/2007,42.51,125.68,90.56,40.34,-0.0476,-0.0395,0.0157,0.0431
1/10/2007,44.58,130.74,89.15,38.64,0.0111,0.0135,-0.0439,0.0254
4/9/2007,44.08,128.99,93.15,37.67,0.0246,0.038,0.1533,0.0189
1/8/2007,43.01,124.18,79.91,36.96,0.0008,0.0128,0.0173,0.086
2/7/2007,42.98,122.61,78.54,33.92,-0.0462,-0.0318,0.1381,-0.0719
1/6/2007,45.01,126.57,68.41,36.45,-0.0187,-0.0147,-0.0106,-0.0656
1/5/2007,45.86,128.45,69.14,38.92,0.0318,0.0334,0.1199,-0.0387
2/4/2007,44.42,124.24,61.33,40.45,0.0431,0.0433,0.4327,0.0113
1/3/2007,42.55,118.97,39.79,40,0.0082,0.0115,0.0165,0.0305
1/2/2007,42.2,117.61,39.14,38.8,-0.0048,-0.0198,0.0383,0.0098
3/1/2007,42.4,119.96,37.67,38.42,0.0238,0.0149,-0.0464,0.0201
1/12/2006,41.4,118.18,39.46,37.65,0.0056,0.0133,-0.0221,0.0459
1/11/2006,41.17,116.62,40.34,35.96,0.0246,0.0197,0.0574,0.0126
2/10/2006,40.17,114.35,38.09,35.51,0.0369,0.031,0.1705,0.0466
1/9/2006,38.71,110.85,32.12,33.89,0.0237,0.0266,0.041,0.0066
1/8/2006,37.81,107.94,30.83,33.67,0.027,0.0216,0.1367,0
3/7/2006,36.8,105.63,26.89,33.67,-0.0134,0.0045,-0.3636,0.0318
1/6/2006,37.29,105.16,38.68,32.62,-0.0028,0.0026,0.1112,0.0399
1/5/2006,37.4,104.89,34.61,31.34,-0.0301,-0.0306,-0.0172,-0.0206
3/4/2006,38.54,108.15,35.21,31.99,0.0086,0.0126,-0.0368,-0.001
1/3/2006,38.21,106.8,36.53,32.02,0.0208,0.0164,-0.0246,0.0261
1/2/2006,37.43,105.06,37.44,31.2,0.0034,0.0057,-0.1799,0.0128
3/1/2006,37.3,104.47,44.82,30.8,0.0395,0.0237,-0.0507,0.0323
1/12/2005,35.86,102.02,47.15,29.83,0.0053,-0.0019,-0.0274,0.0217
1/11/2005,35.67,102.21,48.46,29.18,0.0445,0.043,0.1954,0.0262
3/10/2005,34.12,97.91,39.86,28.43,-0.0272,-0.0239,-0.1279,-0.0968
1/9/2005,35.06,100.28,45.3,31.32,0.005,0.008,0.0591,0.0062
1/8/2005,34.88,99.48,42.7,31.13,-0.0088,-0.0094,-0.0558,-0.0188
1/7/2005,35.19,100.42,45.15,31.72,0.0498,0.0375,0.3108,-0.0064
1/6/2005,33.48,96.72,33.09,31.92,0.0153,0.0015,-0.0706,0.0787
2/5/2005,32.97,96.58,35.51,29.51,0.044,0.0317,0.0929,-0.0505
1/4/2005,31.55,93.56,32.36,31.03,-0.0325,-0.0189,-0.0573,0.0413
1/3/2005,32.6,95.35,34.27,29.78,-0.0137,-0.0185,-0.0262,0.0371
1/2/2005,33.05,97.12,35.18,28.69,0.0211,0.0207,-0.2058,0.0176
3/1/2005,32.36,95.14,43.22,28.19,-0.0313,-0.0227,-0.0245,0.056
1/12/2004,33.39,97.32,44.29,26.66,0.0364,0.0297,0.1099,0.002
1/11/2004,32.19,94.47,39.68,26.6,0.0563,0.0436,0.1507,0.041
1/10/2004,30.43,90.45,34.13,25.54,0.0235,0.0128,-0.18,0.0692
1/9/2004,29.72,89.3,40.86,23.83,0.0254,0.01,0.0689,0.0333
2/8/2004,28.98,88.41,38.14,23.05,-0.001,0.0024,-0.0202,0.0417
1/7/2004,29.01,88.19,38.92,22.11,-0.0468,-0.0327,-0.3349,0.0579
1/6/2004,30.4,91.13,54.4,20.86,0.0299,0.0183,0.1148,0.0174
3/5/2004,29.5,89.47,48.5,20.5,0.0173,0.017,0.1065,-0.0405
1/4/2004,29,87.97,43.6,21.35,-0.0239,-0.0191,0.0074,-0.0706
1/3/2004,29.7,89.66,43.28,22.91,-0.0068,-0.0133,0.0063,0.0287
2/2/2004,29.9,90.87,43.01,22.26,0.0189,0.0135,-0.1586,0.023
2/1/2004,29.34,89.65,50.4,21.76,0.0234,0.0196,-0.0431,0.0607
1/12/2003,28.66,87.91,52.62,20.48,0.0505,0.0491,-0.0253,0.1254
3/11/2003,27.25,83.7,53.97,18.06,0.0209,0.0109,-0.0085,0.0096
1/10/2003,26.69,82.8,54.43,17.89,0.0669,0.0521,0.1168,0.0189
2/9/2003,24.96,78.59,48.43,17.55,-0.0149,-0.011,0.0445,0.0419
1/8/2003,25.34,79.46,46.32,16.84,0.0422,0.0204,0.1065,-0.0113
1/7/2003,24.29,77.85,41.64,17.03,0.0233,0.0179,0.1367,-0.1282
2/6/2003,23.73,76.47,36.32,19.36,0.0086,0.0106,0.0119,0.029
2/5/2003,23.53,75.67,35.89,18.8,,,,
